"row","pop_group","age_group","indicator_category","indicator","value","n","sum","Year","row_index"
NA,"DSS in Given Year","65+","Health","Job Seeker benefit for Health/Disability","0",3138,"NULL",2018,1092
NA,"DSS in Given Year","65+","Health","Job Seeker benefit for Health/Disability","1",0,"NULL",2018,1093
NA,"DSS in Given Year","65+","Health","Ongoing Resourcing Scheme (ever)","0",3141,"NULL",2018,1094
NA,"DSS in Given Year","65+","Health","Parent receives CDA","0",3141,"NULL",2018,1095
NA,"DSS in Given Year","65+","Health","Parent receives Disability Allowance","0",3141,"NULL",2018,1096
NA,"DSS in Given Year","65+","Health","Parent receives JS Health/Disability","0",3141,"NULL",2018,1097
NA,"DSS in Given Year","65+","Health","Parent receives Special DA","0",3141,"NULL",2018,1098
NA,"DSS in Given Year","65+","Health","Parent receives Supported Living Payment","0",3141,"NULL",2018,1099
NA,"DSS in Given Year","65+","Health","PHO enrolment in 2018","0",45,"NULL",2018,1100
NA,"DSS in Given Year","65+","Health","PHO enrolment in 2018","1",3096,"NULL",2018,1101
NA,"DSS in Given Year","65+","Health","School High Health Needs Fund (ever)","0",3141,"NULL",2018,1102
NA,"DSS in Given Year","65+","Health","Special Disability Allowance","0",3132,"NULL",2018,1103
NA,"DSS in Given Year","65+","Health","Special Disability Allowance","1",12,"NULL",2018,1104
NA,"DSS in Given Year","65+","Health","Special school (ever)","0",3141,"NULL",2018,1105
NA,"DSS in Given Year","65+","Health","Supported Living Payment","0",2691,"NULL",2018,1106
NA,"DSS in Given Year","65+","Health","Supported Living Payment","1",453,"NULL",2018,1107
NA,"DSS in Given Year","65+","Housing","Accomodation supplement","0",2577,"NULL",2018,1108
NA,"DSS in Given Year","65+","Housing","Accomodation supplement","1",564,"NULL",2018,1109
NA,"DSS in Given Year","65+","Housing","Address type","""Hotel, motel or guest accommo",0,"NULL",2018,1110
NA,"DSS in Given Year","65+","Housing","Address type","Boarding house",0,"NULL",2018,1111
NA,"DSS in Given Year","65+","Housing","Address type","Dwelling in a motor camp",0,"NULL",2018,1112
NA,"DSS in Given Year","65+","Housing","Address type","Improvised dwelling or shelter",6,"NULL",2018,1113
NA,"DSS in Given Year","65+","Housing","Address type","Joined dwelling in a four to s",12,"NULL",2018,1114
NA,"DSS in Given Year","65+","Housing","Address type","Joined dwelling in a one store",450,"NULL",2018,1115
NA,"DSS in Given Year","65+","Housing","Address type","Joined dwelling in a ten or mo",0,"NULL",2018,1116
NA,"DSS in Given Year","65+","Housing","Address type","Joined dwelling in a two or th",87,"NULL",2018,1117
NA,"DSS in Given Year","65+","Housing","Address type","Joined dwelling no storey info",57,"NULL",2018,1118
NA,"DSS in Given Year","65+","Housing","Address type","Mobile dwelling not in a motor",0,"NULL",2018,1119
NA,"DSS in Given Year","65+","Housing","Address type","Motor camp/camping ground",0,"NULL",2018,1120
NA,"DSS in Given Year","65+","Housing","Address type","NULL",27,"NULL",2018,1121
NA,"DSS in Given Year","65+","Housing","Address type","Private hospital",0,"NULL",2018,1122
NA,"DSS in Given Year","65+","Housing","Address type","Public hospital",6,"NULL",2018,1123
NA,"DSS in Given Year","65+","Housing","Address type","Residential and community care",618,"NULL",2018,1124
NA,"DSS in Given Year","65+","Housing","Address type","Residential care for older peo",267,"NULL",2018,1125
NA,"DSS in Given Year","65+","Housing","Address type","Separate house no storey infor",102,"NULL",2018,1126
NA,"DSS in Given Year","65+","Housing","Address type","Separate house with one storey",1323,"NULL",2018,1127
NA,"DSS in Given Year","65+","Housing","Address type","Separate house with two or mor",174,"NULL",2018,1128
NA,"DSS in Given Year","65+","Housing","Address type","Welfare institution",0,"NULL",2018,1129
NA,"DSS in Given Year","65+","Housing","In public housing","0",2844,"NULL",2018,1130
NA,"DSS in Given Year","65+","Housing","In public housing","1",297,"NULL",2018,1131
NA,"DSS in Given Year","65+","Housing","Live with grandparent","0",3141,"NULL",2018,1132
NA,"DSS in Given Year","65+","Housing","Live with parent","0",3141,"NULL",2018,1133
NA,"DSS in Given Year","65+","Housing","On social housing waitlist","0",3135,"NULL",2018,1134
NA,"DSS in Given Year","65+","Housing","On social housing waitlist","1",6,"NULL",2018,1135
NA,"DSS in Given Year","65+","Housing","Parent accomodation supplement","0",3141,"NULL",2018,1136
NA,"DSS in Given Year","65+","Justice","Offender - any offence","0",3018,"NULL",2018,1137
NA,"DSS in Given Year","65+","Justice","Offender - any offence","1",123,"NULL",2018,1138
NA,"DSS in Given Year","65+","Justice","Offender - violent offence","0",3096,"NULL",2018,1139
NA,"DSS in Given Year","65+","Justice","Offender - violent offence","1",48,"NULL",2018,1140
NA,"DSS in Given Year","65+","Justice","Served community sentence ever","0",2955,"NULL",2018,1141
NA,"DSS in Given Year","65+","Justice","Served community sentence ever","1",186,"NULL",2018,1142
NA,"DSS in Given Year","65+","Justice","Served community sentence in 2018","0",3138,"NULL",2018,1143
NA,"DSS in Given Year","65+","Justice","Served community sentence in 2018","1",0,"NULL",2018,1144
NA,"DSS in Given Year","65+","Justice","Served custodial sentence ever","0",3078,"NULL",2018,1145
NA,"DSS in Given Year","65+","Justice","Served custodial sentence ever","1",63,"NULL",2018,1146
NA,"DSS in Given Year","65+","Justice","Served custodial sentence in 2018","0",3138,"NULL",2018,1147
NA,"DSS in Given Year","65+","Justice","Served custodial sentence in 2018","1",0,"NULL",2018,1148
NA,"DSS in Given Year","65+","Justice","Victim - any offence","0",3000,"NULL",2018,1149
NA,"DSS in Given Year","65+","Justice","Victim - any offence","1",141,"NULL",2018,1150
NA,"DSS in Given Year","65+","Justice","Victim - violent offence","0",3102,"NULL",2018,1151
NA,"DSS in Given Year","65+","Justice","Victim - violent offence","1",42,"NULL",2018,1152
NA,"DSS in Given Year","65+","Need","ACC - Case management","0",3027,"NULL",2018,1153
NA,"DSS in Given Year","65+","Need","ACC - Case management","1",114,"NULL",2018,1154
NA,"DSS in Given Year","65+","Need","ACC - Sensitive claim","0",3126,"NULL",2018,1155
NA,"DSS in Given Year","65+","Need","ACC - Sensitive claim","1",18,"NULL",2018,1156
NA,"DSS in Given Year","65+","Need","ACC - Serious injury","0",3138,"NULL",2018,1157
NA,"DSS in Given Year","65+","Need","ACC - Serious injury","1",0,"NULL",2018,1158
NA,"DSS in Given Year","65+","Need","ACC - Workers Compensation","0",3138,"NULL",2018,1159
NA,"DSS in Given Year","65+","Need","ACC - Workers Compensation","1",0,"NULL",2018,1160
NA,"DSS in Given Year","65+","Need","ADHD","0",3135,"NULL",2018,1161
NA,"DSS in Given Year","65+","Need","ADHD","1",0,"NULL",2018,1162
NA,"DSS in Given Year","65+","Need","Amputation of hand/arm","0",3129,"NULL",2018,1163
NA,"DSS in Given Year","65+","Need","Amputation of hand/arm","1",12,"NULL",2018,1164
NA,"DSS in Given Year","65+","Need","Ataxia","0",3102,"NULL",2018,1165
NA,"DSS in Given Year","65+","Need","Ataxia","1",39,"NULL",2018,1166
NA,"DSS in Given Year","65+","Need","Autism Spectrum Disorder","0",3048,"NULL",2018,1167
NA,"DSS in Given Year","65+","Need","Autism Spectrum Disorder","1",93,"NULL",2018,1168
NA,"DSS in Given Year","65+","Need","Bipolar","0",2982,"NULL",2018,1169
NA,"DSS in Given Year","65+","Need","Bipolar","1",162,"NULL",2018,1170
NA,"DSS in Given Year","65+","Need","Blind or nearly blind","0",2868,"NULL",2018,1171
NA,"DSS in Given Year","65+","Need","Blind or nearly blind","1",276,"NULL",2018,1172
NA,"DSS in Given Year","65+","Need","Cerebral Palsy","0",2937,"NULL",2018,1173
NA,"DSS in Given Year","65+","Need","Cerebral Palsy","1",204,"NULL",2018,1174
NA,"DSS in Given Year","65+","Need","Deaf or nearly deaf","0",3057,"NULL",2018,1175
NA,"DSS in Given Year","65+","Need","Deaf or nearly deaf","1",84,"NULL",2018,1176
NA,"DSS in Given Year","65+","Need","Developmental Delay","0",3114,"NULL",2018,1177
NA,"DSS in Given Year","65+","Need","Developmental Delay","1",27,"NULL",2018,1178
NA,"DSS in Given Year","65+","Need","Down Syndrome","0",3102,"NULL",2018,1179
NA,"DSS in Given Year","65+","Need","Down Syndrome","1",39,"NULL",2018,1180
NA,"DSS in Given Year","65+","Need","Foetal Alcohol Spectrum Disorder","0",3141,"NULL",2018,1181
NA,"DSS in Given Year","65+","Need","Fragile X","0",3129,"NULL",2018,1182
NA,"DSS in Given Year","65+","Need","Fragile X","1",12,"NULL",2018,1183
NA,"DSS in Given Year","65+","Need","Generalised Anxiety Disorder","0",3096,"NULL",2018,1184
NA,"DSS in Given Year","65+","Need","Generalised Anxiety Disorder","1",45,"NULL",2018,1185
NA,"DSS in Given Year","65+","Need","Huntingtons","0",3114,"NULL",2018,1186
NA,"DSS in Given Year","65+","Need","Huntingtons","1",27,"NULL",2018,1187
NA,"DSS in Given Year","65+","Need","Incontinence (faecal/urinary)","0",1365,"NULL",2018,1188
NA,"DSS in Given Year","65+","Need","Incontinence (faecal/urinary)","1",1776,"NULL",2018,1189
NA,"DSS in Given Year","65+","Need","Intellectual Disability","0",2076,"NULL",2018,1190
NA,"DSS in Given Year","65+","Need","Intellectual Disability","1",1062,"NULL",2018,1191
NA,"DSS in Given Year","65+","Need","Klinefelters Syndrome","0",3138,"NULL",2018,1192
NA,"DSS in Given Year","65+","Need","Klinefelters Syndrome","1",0,"NULL",2018,1193
NA,"DSS in Given Year","65+","Need","Major Depressive Disorder","0",2250,"NULL",2018,1194
NA,"DSS in Given Year","65+","Need","Major Depressive Disorder","1",894,"NULL",2018,1195
NA,"DSS in Given Year","65+","Need","Motor Neuron Disease","0",3129,"NULL",2018,1196
NA,"DSS in Given Year","65+","Need","Motor Neuron Disease","1",12,"NULL",2018,1197
NA,"DSS in Given Year","65+","Need","Multiple Sclerosis","0",2850,"NULL",2018,1198
NA,"DSS in Given Year","65+","Need","Multiple Sclerosis","1",291,"NULL",2018,1199
NA,"DSS in Given Year","65+","Need","Muscular Dystrophy","0",3099,"NULL",2018,1200
NA,"DSS in Given Year","65+","Need","Muscular Dystrophy","1",45,"NULL",2018,1201
NA,"DSS in Given Year","65+","Need","Osteoarthritis","0",3072,"NULL",2018,1202
NA,"DSS in Given Year","65+","Need","Osteoarthritis","1",69,"NULL",2018,1203
NA,"DSS in Given Year","65+","Need","Polio","0",3099,"NULL",2018,1204
NA,"DSS in Given Year","65+","Need","Polio","1",42,"NULL",2018,1205
NA,"DSS in Given Year","65+","Need","Schizophrenia","0",3009,"NULL",2018,1206
NA,"DSS in Given Year","65+","Need","Schizophrenia","1",132,"NULL",2018,1207
NA,"DSS in Given Year","65+","Need","Spina Bifida","0",3129,"NULL",2018,1208
NA,"DSS in Given Year","65+","Need","Spina Bifida","1",12,"NULL",2018,1209
NA,"DSS in Given Year","65+","Need","Stroke","0",2538,"NULL",2018,1210
NA,"DSS in Given Year","65+","Need","Stroke","1",0,"NULL",2018,1211
NA,"DSS in Given Year","65+","Need","Stroke","2",18,"NULL",2018,1212
NA,"DSS in Given Year","65+","Need","Stroke","3",582,"NULL",2018,1213
NA,"DSS in Given Year","65+","Need","WGSS - Communication","1",1467,"NULL",2018,1214
NA,"DSS in Given Year","65+","Need","WGSS - Communication","2",657,"NULL",2018,1215
NA,"DSS in Given Year","65+","Need","WGSS - Communication","3",336,"NULL",2018,1216
NA,"DSS in Given Year","65+","Need","WGSS - Communication","4",96,"NULL",2018,1217
NA,"DSS in Given Year","65+","Need","WGSS - Communication","5",588,"NULL",2018,1218
NA,"DSS in Given Year","65+","Need","WGSS - Hearing","1",1506,"NULL",2018,1219
NA,"DSS in Given Year","65+","Need","WGSS - Hearing","2",771,"NULL",2018,1220
NA,"DSS in Given Year","65+","Need","WGSS - Hearing","3",204,"NULL",2018,1221
NA,"DSS in Given Year","65+","Need","WGSS - Hearing","4",45,"NULL",2018,1222
NA,"DSS in Given Year","65+","Need","WGSS - Hearing","5",621,"NULL",2018,1223
NA,"DSS in Given Year","65+","Need","WGSS - Remembering","1",906,"NULL",2018,1224
NA,"DSS in Given Year","65+","Need","WGSS - Remembering","2",1107,"NULL",2018,1225
NA,"DSS in Given Year","65+","Need","WGSS - Remembering","3",438,"NULL",2018,1226
NA,"DSS in Given Year","65+","Need","WGSS - Remembering","4",63,"NULL",2018,1227
NA,"DSS in Given Year","65+","Need","WGSS - Remembering","5",624,"NULL",2018,1228
NA,"DSS in Given Year","65+","Need","WGSS - Seeing","1",1146,"NULL",2018,1229
NA,"DSS in Given Year","65+","Need","WGSS - Seeing","2",1032,"NULL",2018,1230
NA,"DSS in Given Year","65+","Need","WGSS - Seeing","3",279,"NULL",2018,1231
NA,"DSS in Given Year","65+","Need","WGSS - Seeing","4",69,"NULL",2018,1232
NA,"DSS in Given Year","65+","Need","WGSS - Seeing","5",618,"NULL",2018,1233
NA,"DSS in Given Year","65+","Need","WGSS - Walking","1",303,"NULL",2018,1234
NA,"DSS in Given Year","65+","Need","WGSS - Walking","2",876,"NULL",2018,1235
NA,"DSS in Given Year","65+","Need","WGSS - Walking","3",822,"NULL",2018,1236
NA,"DSS in Given Year","65+","Need","WGSS - Walking","4",537,"NULL",2018,1237
NA,"DSS in Given Year","65+","Need","WGSS - Walking","5",606,"NULL",2018,1238
NA,"DSS in Given Year","65+","Need","WGSS - Washing","1",840,"NULL",2018,1239
NA,"DSS in Given Year","65+","Need","WGSS - Washing","2",846,"NULL",2018,1240
NA,"DSS in Given Year","65+","Need","WGSS - Washing","3",471,"NULL",2018,1241
NA,"DSS in Given Year","65+","Need","WGSS - Washing","4",381,"NULL",2018,1242
NA,"DSS in Given Year","65+","Need","WGSS - Washing","5",606,"NULL",2018,1243
NA,"DSS in Given Year","65+","Need","Wheelchair dependence","0",2100,"NULL",2018,1244
NA,"DSS in Given Year","65+","Need","Wheelchair dependence","1",1041,"NULL",2018,1245
NA,"DSS in Given Year","65+","Oranga Tamariki","Person has any drivers licence","0",2241,"NULL",2018,1246
NA,"DSS in Given Year","65+","Oranga Tamariki","Person has any drivers licence","1",903,"NULL",2018,1247
NA,"DSS in Given Year","65+","Oranga Tamariki","Person has full drivers licence","0",2253,"NULL",2018,1248
NA,"DSS in Given Year","65+","Oranga Tamariki","Person has full drivers licence","1",888,"NULL",2018,1249
NA,"DSS in Given Year","65+","Oranga Tamariki","Person has had care placement","0",3105,"NULL",2018,1250
NA,"DSS in Given Year","65+","Oranga Tamariki","Person has had care placement","1",36,"NULL",2018,1251
NA,"DSS in Given Year","65+","Oranga Tamariki","Person is subject of a ROC","0",3138,"NULL",2018,1252
NA,"DSS in Given Year","65+","Oranga Tamariki","Person is subject of a ROC","1",0,"NULL",2018,1253
NA,"DSS in Given Year","65+","Oranga Tamariki","Person is subject of investigation","0",3141,"NULL",2018,1254
NA,"DSS in Given Year","65+","Oranga Tamariki","Persons child has had care placement","1",36,"NULL",2018,1255
NA,"DSS in Given Year","65+","Oranga Tamariki","Persons child has had care placement","NULL",3105,"NULL",2018,1256
NA,"DSS in Given Year","65+","Oranga Tamariki","Persons child is subject of a ROC","0",717,"NULL",2018,1257
NA,"DSS in Given Year","65+","Oranga Tamariki","Persons child is subject of a ROC","1",69,"NULL",2018,1258
NA,"DSS in Given Year","65+","Oranga Tamariki","Persons child is subject of a ROC","NULL",2355,"NULL",2018,1259
NA,"DSS in Given Year","65+","Oranga Tamariki","Persons child is subject of investigation","0",708,"NULL",2018,1260
NA,"DSS in Given Year","65+","Oranga Tamariki","Persons child is subject of investigation","1",81,"NULL",2018,1261
NA,"DSS in Given Year","65+","Oranga Tamariki","Persons child is subject of investigation","NULL",2355,"NULL",2018,1262
NA,"DSS in Given Year","65+","Oranga Tamariki","Persons parent has any drivers licence","0",3141,"NULL",2018,1263
NA,"DSS in Given Year","65+","Oranga Tamariki","Persons parent has full drivers licence","0",3141,"NULL",2018,1264
NA,"DSS in Given Year","65+","Parent SES","Parent 1 highest qual (NQF)","NULL",3141,"NULL",2018,1265
NA,"DSS in Given Year","65+","Parent SES","Parent 1 income bands","NULL",3141,"NULL",2018,1266
NA,"DSS in Given Year","65+","Parent SES","Parent 1 main benefit","0",3141,"NULL",2018,1267
NA,"DSS in Given Year","65+","Parent SES","Parent 1 total income","NULL",3141,"NULL",2018,1268
NA,"DSS in Given Year","65+","Parent SES","Parent 1 wages/salary","0",3141,"NULL",2018,1269
NA,"DSS in Given Year","65+","Parent SES","Parent 2 highest qual (NQF)","NULL",3141,"NULL",2018,1270
NA,"DSS in Given Year","65+","Parent SES","Parent 2 income bands","NULL",3141,"NULL",2018,1271
NA,"DSS in Given Year","65+","Parent SES","Parent 2 main benefit","0",3141,"NULL",2018,1272
NA,"DSS in Given Year","65+","Parent SES","Parent 2 total income","NULL",3141,"NULL",2018,1273
NA,"DSS in Given Year","65+","Parent SES","Parent 2 wages/salary","0",3141,"NULL",2018,1274
NA,"DSS in Given Year","65+","Socio-economic background","Highest qualification (NQF)","0",1674,"NULL",2018,1275
NA,"DSS in Given Year","65+","Socio-economic background","Highest qualification (NQF)","1",417,"NULL",2018,1276
NA,"DSS in Given Year","65+","Socio-economic background","Highest qualification (NQF)","2",195,"NULL",2018,1277
NA,"DSS in Given Year","65+","Socio-economic background","Highest qualification (NQF)","3",177,"NULL",2018,1278
NA,"DSS in Given Year","65+","Socio-economic background","Highest qualification (NQF)","4",174,"NULL",2018,1279
NA,"DSS in Given Year","65+","Socio-economic background","Highest qualification (NQF)","5",72,"NULL",2018,1280
NA,"DSS in Given Year","65+","Socio-economic background","Highest qualification (NQF)","6",114,"NULL",2018,1281
NA,"DSS in Given Year","65+","Socio-economic background","Highest qualification (NQF)","7",114,"NULL",2018,1282
NA,"DSS in Given Year","65+","Socio-economic background","Highest qualification (NQF)","8",36,"NULL",2018,1283
NA,"DSS in Given Year","65+","Socio-economic background","Highest qualification (NQF)","9",30,"NULL",2018,1284
NA,"DSS in Given Year","65+","Socio-economic background","Highest qualification (NQF)","10",9,"NULL",2018,1285
NA,"DSS in Given Year","65+","Socio-economic background","Highest qualification (NQF)","NULL",129,"NULL",2018,1286
NA,"DSS in Given Year","65+","Socio-economic background","Income bands","A:NULL",48,"NULL",2018,1287
NA,"DSS in Given Year","65+","Socio-economic background","Income bands","B:Loss",0,"NULL",2018,1288
NA,"DSS in Given Year","65+","Socio-economic background","Income bands","C:Zero Income",6,"NULL",2018,1289
NA,"DSS in Given Year","65+","Socio-economic background","Income bands","D:$1-$5,000",30,"NULL",2018,1290
NA,"DSS in Given Year","65+","Socio-economic background","Income bands","E:$5,001-$10,000",27,"NULL",2018,1291
NA,"DSS in Given Year","65+","Socio-economic background","Income bands","F:$10,001-$15,000",42,"NULL",2018,1292
NA,"DSS in Given Year","65+","Socio-economic background","Income bands","G:$15,001-$20,000",435,"NULL",2018,1293
NA,"DSS in Given Year","65+","Socio-economic background","Income bands","H:$20,001-$25,000",1197,"NULL",2018,1294
NA,"DSS in Given Year","65+","Socio-economic background","Income bands","I:$25,001-$30,000",804,"NULL",2018,1295
NA,"DSS in Given Year","65+","Socio-economic background","Income bands","J:$30,001-$35,000",372,"NULL",2018,1296
NA,"DSS in Given Year","65+","Socio-economic background","Income bands","K:$35,001-$40,000",69,"NULL",2018,1297
NA,"DSS in Given Year","65+","Socio-economic background","Income bands","L:$40,001-$50,000",45,"NULL",2018,1298
NA,"DSS in Given Year","65+","Socio-economic background","Income bands","M:$50,001-$60,000",27,"NULL",2018,1299
NA,"DSS in Given Year","65+","Socio-economic background","Income bands","N:$60,001-$70,000",9,"NULL",2018,1300
NA,"DSS in Given Year","65+","Socio-economic background","Income bands","O:$70,001-$100,000",18,"NULL",2018,1301
NA,"DSS in Given Year","65+","Socio-economic background","Income bands","P:$100,001-$150,000",9,"NULL",2018,1302
NA,"DSS in Given Year","65+","Socio-economic background","Income bands","Q:$150,001 or More",0,"NULL",2018,1303
NA,"DSS in Given Year","65+","Socio-economic background","NZDep","1",114,"NULL",2018,1304
NA,"DSS in Given Year","65+","Socio-economic background","NZDep","2",147,"NULL",2018,1305
NA,"DSS in Given Year","65+","Socio-economic background","NZDep","3",189,"NULL",2018,1306
NA,"DSS in Given Year","65+","Socio-economic background","NZDep","4",222,"NULL",2018,1307
NA,"DSS in Given Year","65+","Socio-economic background","NZDep","5",285,"NULL",2018,1308
NA,"DSS in Given Year","65+","Socio-economic background","NZDep","6",336,"NULL",2018,1309
NA,"DSS in Given Year","65+","Socio-economic background","NZDep","7",324,"NULL",2018,1310
NA,"DSS in Given Year","65+","Socio-economic background","NZDep","8",411,"NULL",2018,1311
NA,"DSS in Given Year","65+","Socio-economic background","NZDep","9",498,"NULL",2018,1312
NA,"DSS in Given Year","65+","Socio-economic background","NZDep","10",393,"NULL",2018,1313
NA,"DSS in Given Year","65+","Socio-economic background","NZDep","NULL",222,"NULL",2018,1314
NA,"DSS in Given Year","65+","Socio-economic background","Receipt of wages/salary","0",3057,"NULL",2018,1315
NA,"DSS in Given Year","65+","Socio-economic background","Receipt of wages/salary","1",84,"NULL",2018,1316
NA,"DSS in Given Year","65+","Socio-economic background","Receiving main benefit","0",993,"NULL",2018,1317
NA,"DSS in Given Year","65+","Socio-economic background","Receiving main benefit","1",2148,"NULL",2018,1318
NA,"DSS in Given Year","65+","Socio-economic background","Total income","NULL",3141,"79180242",2018,1319
NA,"DSS in past","03-18","Demographics","Ethnicity - Asian","0",5658,"NULL",2018,1320
NA,"DSS in past","03-18","Demographics","Ethnicity - Asian","1",594,"NULL",2018,1321
NA,"DSS in past","03-18","Demographics","Ethnicity - European","0",1740,"NULL",2018,1322
NA,"DSS in past","03-18","Demographics","Ethnicity - European","1",4515,"NULL",2018,1323
NA,"DSS in past","03-18","Demographics","Ethnicity - Maori","0",4281,"NULL",2018,1324
NA,"DSS in past","03-18","Demographics","Ethnicity - Maori","1",1971,"NULL",2018,1325
NA,"DSS in past","03-18","Demographics","Ethnicity - MELAA","0",6162,"NULL",2018,1326
NA,"DSS in past","03-18","Demographics","Ethnicity - MELAA","1",87,"NULL",2018,1327
NA,"DSS in past","03-18","Demographics","Ethnicity - Other","0",6123,"NULL",2018,1328
NA,"DSS in past","03-18","Demographics","Ethnicity - Other","1",129,"NULL",2018,1329
NA,"DSS in past","03-18","Demographics","Ethnicity - Pacific","0",5430,"NULL",2018,1330
NA,"DSS in past","03-18","Demographics","Ethnicity - Pacific","1",819,"NULL",2018,1331
NA,"DSS in past","03-18","Demographics","Has a dependent child","0",6231,"NULL",2018,1332
NA,"DSS in past","03-18","Demographics","Has a dependent child","1",18,"NULL",2018,1333
NA,"DSS in past","03-18","Demographics","Has ever had a child","0",6231,"NULL",2018,1334
NA,"DSS in past","03-18","Demographics","Has ever had a child","1",18,"NULL",2018,1335
NA,"DSS in past","03-18","Demographics","Male","0",1938,"NULL",2018,1336
NA,"DSS in past","03-18","Demographics","Male","1",4314,"NULL",2018,1337
NA,"DSS in past","03-18","Demographics","Regional Council","Area Outside Region",0,"NULL",2018,1338
NA,"DSS in past","03-18","Demographics","Regional Council","Auckland Region",2154,"NULL",2018,1339
NA,"DSS in past","03-18","Demographics","Regional Council","Bay of Plenty Region",558,"NULL",2018,1340
NA,"DSS in past","03-18","Demographics","Regional Council","Canterbury Region",504,"NULL",2018,1341
NA,"DSS in past","03-18","Demographics","Regional Council","Gisborne Region",81,"NULL",2018,1342
NA,"DSS in past","03-18","Demographics","Regional Council","Hawke's Bay Region",258,"NULL",2018,1343
NA,"DSS in past","03-18","Demographics","Regional Council","Manawatu-Whanganui Region",318,"NULL",2018,1344
NA,"DSS in past","03-18","Demographics","Regional Council","Marlborough Region",54,"NULL",2018,1345
NA,"DSS in past","03-18","Demographics","Regional Council","Nelson Region",78,"NULL",2018,1346
NA,"DSS in past","03-18","Demographics","Regional Council","Northland Region",207,"NULL",2018,1347
NA,"DSS in past","03-18","Demographics","Regional Council","Otago Region",309,"NULL",2018,1348
NA,"DSS in past","03-18","Demographics","Regional Council","Southland Region",132,"NULL",2018,1349
NA,"DSS in past","03-18","Demographics","Regional Council","Taranaki Region",201,"NULL",2018,1350
NA,"DSS in past","03-18","Demographics","Regional Council","Tasman Region",99,"NULL",2018,1351
NA,"DSS in past","03-18","Demographics","Regional Council","Waikato Region",702,"NULL",2018,1352
NA,"DSS in past","03-18","Demographics","Regional Council","Wellington Region",561,"NULL",2018,1353
NA,"DSS in past","03-18","Demographics","Regional Council","West Coast Region",36,"NULL",2018,1354
NA,"DSS in past","03-18","Demographics","Urban/rural","Large urban area",969,"NULL",2018,1355
NA,"DSS in past","03-18","Demographics","Urban/rural","Major urban area",3141,"NULL",2018,1356
NA,"DSS in past","03-18","Demographics","Urban/rural","Medium urban area",534,"NULL",2018,1357
NA,"DSS in past","03-18","Demographics","Urban/rural","Rural other",726,"NULL",2018,1358
NA,"DSS in past","03-18","Demographics","Urban/rural","Rural settlement",192,"NULL",2018,1359
NA,"DSS in past","03-18","Demographics","Urban/rural","Small urban area",693,"NULL",2018,1360
NA,"DSS in past","03-18","Health","Alternative Education (ever)","0",6081,"NULL",2018,1361
NA,"DSS in past","03-18","Health","Alternative Education (ever)","1",168,"NULL",2018,1362
NA,"DSS in past","03-18","Health","Attendance Service (ever)","0",5319,"NULL",2018,1363
NA,"DSS in past","03-18","Health","Attendance Service (ever)","1",930,"NULL",2018,1364
NA,"DSS in past","03-18","Health","Child Disability Allowance","0",6249,"NULL",2018,1365
NA,"DSS in past","03-18","Health","Child Disability Allowance","1",0,"NULL",2018,1366
NA,"DSS in past","03-18","Health","Disability Allowance","0",6174,"NULL",2018,1367
NA,"DSS in past","03-18","Health","Disability Allowance","1",78,"NULL",2018,1368
NA,"DSS in past","03-18","Health","Job Seeker benefit for Health/Disability","0",6210,"NULL",2018,1369
NA,"DSS in past","03-18","Health","Job Seeker benefit for Health/Disability","1",39,"NULL",2018,1370
NA,"DSS in past","03-18","Health","Ongoing Resourcing Scheme (ever)","0",5274,"NULL",2018,1371
NA,"DSS in past","03-18","Health","Ongoing Resourcing Scheme (ever)","1",978,"NULL",2018,1372
NA,"DSS in past","03-18","Health","Parent receives CDA","0",3771,"NULL",2018,1373
NA,"DSS in past","03-18","Health","Parent receives CDA","1",2478,"NULL",2018,1374
NA,"DSS in past","03-18","Health","Parent receives Disability Allowance","0",5424,"NULL",2018,1375
NA,"DSS in past","03-18","Health","Parent receives Disability Allowance","1",825,"NULL",2018,1376
NA,"DSS in past","03-18","Health","Parent receives JS Health/Disability","0",5658,"NULL",2018,1377
NA,"DSS in past","03-18","Health","Parent receives JS Health/Disability","1",594,"NULL",2018,1378
NA,"DSS in past","03-18","Health","Parent receives Special DA","0",6252,"NULL",2018,1379
NA,"DSS in past","03-18","Health","Parent receives Supported Living Payment","0",5781,"NULL",2018,1380
NA,"DSS in past","03-18","Health","Parent receives Supported Living Payment","1",468,"NULL",2018,1381
NA,"DSS in past","03-18","Health","PHO enrolment in 2018","0",240,"NULL",2018,1382
NA,"DSS in past","03-18","Health","PHO enrolment in 2018","1",6012,"NULL",2018,1383
NA,"DSS in past","03-18","Health","School High Health Needs Fund (ever)","0",6003,"NULL",2018,1384
NA,"DSS in past","03-18","Health","School High Health Needs Fund (ever)","1",249,"NULL",2018,1385
NA,"DSS in past","03-18","Health","Special Disability Allowance","0",6252,"NULL",2018,1386
NA,"DSS in past","03-18","Health","Special school (ever)","0",5781,"NULL",2018,1387
NA,"DSS in past","03-18","Health","Special school (ever)","1",471,"NULL",2018,1388
NA,"DSS in past","03-18","Health","Supported Living Payment","0",6066,"NULL",2018,1389
NA,"DSS in past","03-18","Health","Supported Living Payment","1",183,"NULL",2018,1390
NA,"DSS in past","03-18","Housing","Accomodation supplement","0",6003,"NULL",2018,1391
NA,"DSS in past","03-18","Housing","Accomodation supplement","1",252,"NULL",2018,1392
